Year,Benjamin Franklin,George Washington,John Adams,Thomas Jefferson,James Madison,Alexander Hamilton
1730,1,0,0,0,0,0
1732,1,0,0,0,0,0
1734,3,0,0,0,0,0
1736,0,0,0,0,0,0
1738,4,0,0,0,0,0
1740,0,0,0,0,0,0
1742,0,0,0,0,0,0
1744,8,0,0,0,0,0
1746,11,0,0,0,0,0
1748,18,0,0,0,0,0
1750,23,5,0,0,0,0
1752,26,2,0,0,0,0
1754,34,32,0,0,0,0
1756,56,154,6,0,0,0
1758,37,121,11,0,0,0
1760,40,16,3,1,0,0
1762,61,22,1,1,0,0
1763,63,25,7,4,0,0
1764,63,18,15,5,0,0
1766,0,17,2,2,0,0
1767,69,20,1,1,0,0
1768,63,24,0,1,0,0
1769,54,28,3,3,2,1
1770,57,26,2,3,3,0
1771,53,30,3,9,2,12
1772,134,37,4,6,1,11
1773,141,84,9,6,5,0
1774,92,59,51,1,5,0
1775,81,257,137,14,7,2
1776,52,769,190,21,3,10
1777,96,1498,200,15,1,92
1778,148,1683,118,12,4,66
1779,427,1983,139,133,5,104
1780,370,1918,462,419,42,131
1781,311,1418,266,651,35,77
1782,262,1017,268,18,96,63
1783,170,727,231,104,95,74
1784,30,233,144,257,52,44
1785,7,268,267,328,55,43
1786,3,231,276,441,67,52
1787,4,204,144,492,122,34
1788,2,291,71,432,178,65
1789,2,360,131,368,92,129
1790,5,269,74,401,71,362
1791,0,368,34,593,77,454
1792,0,365,32,691,86,650
1793,0,482,58,1023,70,468
1794,0,368,119,90,87,599
1795,0,316,75,159,68,215
1796,0,427,88,139,86,154
1797,0,290,197,149,47,103
1798,0,322,488,214,45,148
1799,1,315,420,159,21,1226
1800,0,0,304,224,47,685
1801,0,0,100,609,206,48
1802,0,0,28,607,291,35
1803,0,0,17,569,313,30
1804,0,0,25,412,342,38
1805,0,0,40,655,330,0
1806,0,0,25,626,341,0
1807,0,0,45,817,296,0
1808,0,0,39,837,231,0
1809,0,0,122,451,183,0
1810,0,0,63,276,163,0
1811,0,0,99,284,123,0
1812,0,0,138,357,124,0
1813,0,0,254,317,135,0
1814,0,0,109,277,120,0
1815,0,0,183,286,148,0
1816,0,0,131,356,178,0
1817,0,0,115,377,94,0
1818,0,0,124,324,76,0
1819,0,0,203,378,75,0
1820,0,0,114,316,73,0
1821,0,0,111,335,83,0
1822,0,0,130,279,80,0
1823,0,0,98,284,122,0
1824,0,0,47,325,129,0
1825,0,0,50,379,118,0
1826,0,0,20,155,136,0
1827,0,0,0,0,195,0
1828,0,0,0,0,215,0
1829,0,0,0,0,130,0
1830,0,0,0,0,160,0
1831,0,0,0,0,123,0
1832,0,0,0,0,50,0
